stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
08236:04001:0:1,Pinache Großglattbacher Straße,47.919597,8.934302,,,,
08236:04001:0:2,Pinache Großglattbacher Straße,47.919597,8.934302,,,,
08236:04002:0.2,Großglattbach Panoramastraße,0.000000,0.000000,,,,
08236:04002:0:1,Großglattbach Panoramastraße,47.919597,8.934302,,,,
08236:04003:0:1,Großglattbach Iptinger Weg,47.919597,8.934302,,,,
08236:04005:0:1,Großglattbach Fronackerweg Bstg 1,47.919597,8.934302,,,,Bstg 1
08236:04006:0:1,Großglattbach Marsstraße,47.919597,8.934302,,,,
08236:04007:0:1,Großglattbach Galileistraße,47.919597,8.934302,,,,
08236:04009:0:1,Pinache Friedhof,47.919597,8.934302,,,,
08236:04010:0:1,Wiernsheim AZP,47.919597,8.934302,,,,
08236:04011:0:1,Wiernsheim Apotheke,47.919597,8.934302,,,,
DE:08235:3040:0:3,Heumaden (Calw): Waldenser Str Bstg 3,47.919597,8.934302,,,,Bstg 3
DE:08235:3045:0:3,Heumaden (Calw) :Hagebuttenw. Bstg 3,47.919597,8.934302,,,,Bstg 3
at:48:466:0:6,Bregenz Hafen Bahnhof,47.506529,9.747448,,,,
ch:23001:18880:90,Klingnau,47.581920,8.249409,,,,
ch:23001:19169:90,Rietheim,47.600750,8.277302,,,,
ch:23001:19182:90,"Rekingen, Bahnhof",47.570194,8.327185,,,,
ch:23001:19304:90,"Mellikon, Bahnhof",47.568442,8.352751,,,,
ch:23001:19464:90,Koblenz Dorf,47.609453,8.240156,,,,
ch:23001:20019:90,Baden,47.476489,8.307314,,,,
ch:23001:20020:90,"Kaiserstuhl AG, Bahnhof",47.566588,8.418822,,,,
ch:23001:20198:90,Brugg AG,47.480866,8.209065,,,,
ch:23001:20200:90,"Döttingen, Bahnhof",47.575685,8.256344,,,,
ch:23001:20201:90,Siggenthal-Würenlingen,47.517978,8.240084,,,,
ch:23001:20202:90,"Bad Zurzach, Bahnhof",47.588392,8.295672,,,,
ch:23001:20204:90,"Koblenz, Bahnhof",47.600344,8.227176,,,,
ch:23001:20513:90,"Rümikon, Bahnhof",47.565272,8.374140,,,,
ch:23001:817:90,"Turgi, Bahnhof",47.491860,8.253460,,,,
